Year,Albania,Andorra,Armenia,Austria,Azerbaijan,Belarus,Belgium,Bosnia,Bulgaria,Croatia,Cyprus,Czechia,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Hungary,Iceland,Ireland,Italy,Kazakhstan,Kosovo,Latvia,Liechtenstein,Lithuania,Luxembourg,Malta,Moldova,Monaco,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Russia,San Marino,Slovakia,Slovenia,Spain,Sweden,Switzerland,Turkey,Ukraine,United Kingdom
1960,1608800,13411,1874120,7047539,3895396,8198000,9153489,3225668,7867374,4140000,572930,9602006,4579603,1211537,4429634,46814237,3645600,72814900,8331725,9983967,175574,2828600,50199700,9714260,947000,2120979,16495,2778550,313970,326550,2544000,22452,480579,11486631,1488667,3581239,29637450,8857716,18406905,119897000,15397,4068095,1584720,30455000,7484656,5327827,27472331,42662149,52400000
1961,1659800,14375,1941491,7086299,4030320,8271216,9183948,3288602,7943118,4171672,576395,9586651,4611687,1225077,4461005,47444751,3703600,73377632,8398050,10029321,179029,2824400,50536350,10129861,966000,2152681,16894,2823550,316845,325250,2605000,22808,491140,11638712,1507654,3609800,29964000,8929316,18555250,121236000,15789,4191667,1594131,30739250,7519998,5434294,28146893,43203635,52800000
1962,1711319,15370,2009526,7129864,4171425,8351928,9220578,3353226,8012946,4202104,577691,9624660,4647727,1241623,4491443,48119649,3760300,74025784,8448233,10061734,182378,2836050,50879450,10532062,994000,2181586,17290,2863350,320750,323900,2664000,23039,502558,11805689,1527111,3638918,30308500,8993985,18676550,122591000,16199,4238188,1603649,31023366,7561588,5573815,28832805,43749470,53250000
1963,1762621,16412,2077575,7175811,4315128,8437232,9289770,3417574,8078145,4231408,577913,9670685,4684483,1258857,4523309,48803680,3816100,74714353,8479625,10087947,185653,2852650,51252000,10913552,1022000,2210919,17718,2898950,324100,322550,2721000,23168,513409,11965966,1547450,3666537,30712000,9030355,18797850,123960000,16621,4282017,1616971,31296651,7604328,5694247,29531342,44285899,53650000
1964,1814135,17469,2144998,7223801,4456689,8524224,9378113,3478995,8144340,4259680,578627,9727804,4722072,1277086,4548543,49449403,3870300,75318337,8510429,10119835,188983,2866550,51675350,11267329,1050000,2240623,18170,2935200,327750,321250,2774000,23236,521753,12127120,1569141,3694339,31139450,9035365,18919126,125345000,17032,4327341,1632114,31609195,7661354,5789228,30244232,44794327,54000000
1965,1864791,18549,2211316,7270889,4592610,8610000,9463667,3535640,8204168,4287000,580966,9779358,4759012,1294566,4563732,50023774,3921600,75963695,8550333,10147935,192286,2877300,52112350,11588870,1078000,2265919,18649,2971450,331500,318800,2825000,23282,526327,12294732,1592432,3723168,31444950,8998595,19031576,126745000,17441,4370983,1649160,31954292,7733853,5856472,30972965,45261935,54348050
1966,1914573,19647,2276031,7322066,4721525,8696496,9527807,3586634,8258057,4313000,585308,9821040,4797381,1308597,4580869,50508717,3966700,76600311,8613651,10178653,195570,2888800,52519000,11872939,1106000,2283217,19153,3008050,333895,315200,2873000,23305,526419,12456251,1617794,3753012,31681000,8930990,19215450,127468000,17835,4411666,1669905,32283194,7807797,5918002,31717477,45682308,54648500
1967,1965598,20758,2339124,7376998,4843870,8785648,9580991,3632669,8310226,4339000,591308,9852899,4835354,1318946,4605744,50915456,4005800,76951336,8684088,10216604,198751,2902450,52900500,12120504,1135000,2301220,19691,3044400,334995,311550,2918000,23292,522796,12598201,1644943,3784539,31987155,8874520,19534242,128196000,18229,4449367,1689528,32682947,7867931,5991785,32477961,46060452,54943600
1968,2022272,21890,2401140,7415403,4960235,8874552,9618756,3675452,8369603,4364000,598493,9876346,4864883,1331214,4626469,51276054,4042300,77294314,8740765,10255815,201488,2915550,53235750,12341412,1163000,2323619,20236,3078850,335850,307900,2960000,23304,517481,12729721,1672399,3816486,32294655,8836650,19799831,128928000,18589,4483915,1704546,33113134,7912273,6067714,33256432,46409002,55211700
1969,2081695,23058,2462925,7441055,5071930,8960304,9646032,3717466,8434172,4387000,606113,9896580,4891860,1345249,4623785,51638260,4080300,77909682,8772764,10298723,203369,2932650,53537950,12550121,1191000,2343173,20765,3107321,337500,304300,3002000,23346,513340,12877984,1698143,3847707,32548300,8757705,20009141,129664000,18895,4518607,1713874,33441054,7968072,6136387,34055361,46746669,55441750
